corrected_on,artifact,quantity,superseded,current,direction,unit,cause,fixed_in,superseded_source
2026-07-25,"etb_summary.md 4.3, etb.html","launch cohort, pooled trough (multiple of launch price)",0.6076839751873899,0.9304681500026553,revised up,mult,"the launch baseline was a pre-street-date price: price_history is snapshotted on the 1st and essentially no set ships on the 1st, so the month a listing first appeared was a pre-order quote on an unshipped box",etb_launch_anchor.launch_anchor_age / etb_lifecycle_events._relative_paths,etb_lifecycle_summary.json
2026-07-25,"etb_summary.md 4.3, etb.html",launch cohort at 12 months (multiple of launch price),0.9987706187543952,1.6777269320492645,revised up,mult,"the launch baseline was a pre-street-date price: price_history is snapshotted on the 1st and essentially no set ships on the 1st, so the month a listing first appeared was a pre-order quote on an unshipped box",etb_launch_anchor.launch_anchor_age / etb_lifecycle_events._relative_paths,etb_lifecycle_summary.json
2026-07-25,etb_summary.md 4.3,share of the cohort below launch at month 2,1.0,0.5454545454545454,revised down,share,"the launch baseline was a pre-street-date price: price_history is snapshotted on the 1st and essentially no set ships on the 1st, so the month a listing first appeared was a pre-order quote on an unshipped box; the axis compounded it, counting months since first LISTING rather than since launch, so one k pooled several product ages",etb_lifecycle_events._relative_paths,etb_lifecycle_launch_curve.csv
2026-07-25,"etb_summary.md 4.3, etb.html",mass-retail launch cohort at 12 months,1.2789435451678914,1.72728303781536,revised up,mult,"the launch baseline was a pre-street-date price: price_history is snapshotted on the 1st and essentially no set ships on the 1st, so the month a listing first appeared was a pre-order quote on an unshipped box",etb_lifecycle_events.launch_channel_table,etb_lifecycle_launch_channel.csv
2026-07-25,"etb_summary.md 4.3, etb.html",Pokemon Center launch cohort at 12 months,0.7799740282954293,1.6295926011544182,revised up,mult,"the launch baseline was a pre-street-date price: price_history is snapshotted on the 1st and essentially no set ships on the 1st, so the month a listing first appeared was a pre-order quote on an unshipped box",etb_lifecycle_events.launch_channel_table,etb_lifecycle_launch_channel.csv
2026-07-25,"etb_summary.md 4.3, etb.html",launch cohort excess over the rest of the ETB market at 12 months,0.4693970381271321,0.7866386575713986,revised up,mult,"the launch baseline was a pre-street-date price: price_history is snapshotted on the 1st and essentially no set ships on the 1st, so the month a listing first appeared was a pre-order quote on an unshipped box",etb_lifecycle_events.launch_summary,etb_lifecycle_summary.json
2026-07-25,"etb_summary.md 6.4, etb_hold_summary.md","post-launch median trough, as a fall from the launch price",47.22846822223756,13.32320162595743,revised down,pct,"the launch baseline was a pre-street-date price: price_history is snapshotted on the 1st and essentially no set ships on the 1st, so the month a listing first appeared was a pre-order quote on an unshipped box; the holding study repeated the same mistake independently, measuring the fall from each product's first listed row",etb_hold_risk.launch_spike_stats,"etb_summary.md (published prose, section 6.4)"
2026-07-25,etb_hold_summary.md,post-launch drop at a fixed 6-month endpoint,38.12276277892461,-0.7535986596533317,sign reversed,pct,"the launch baseline was a pre-street-date price: price_history is snapshotted on the 1st and essentially no set ships on the 1st, so the month a listing first appeared was a pre-order quote on an unshipped box; this one changes SIGN, so the published direction was wrong, not merely the magnitude",etb_hold_risk.launch_spike_stats,etb_hold_summary.md (published prose)
2026-07-25,"etb_summary.md 6.4, etb_hold_summary.md",share of launch-cohort products falling at least 25%,0.6578947368421053,0.2222222222222222,revised down,share,"the launch baseline was a pre-street-date price: price_history is snapshotted on the 1st and essentially no set ships on the 1st, so the month a listing first appeared was a pre-order quote on an unshipped box",etb_hold_risk.launch_spike_stats,"etb_summary.md (published prose, section 6.4)"
2026-07-25,"etb_summary.md 6.4, etb_hold_summary.md 5","12-month net rate for ""bought 0-6m after release""",20.85004407791218,24.937287009225287,revised up,pct,"the bucket's lower bound was -1e9, so buys dated BEFORE the set's street date -- pre-order quotes, not shelf prices -- were counted as purchases 'after release' and dragged the bucket down",etb_hold_risk.AGE_BUCKETS,"etb_summary.md (published table, section 6.4)"
2026-07-25,"etb_summary.md 6.4, etb_hold_summary.md 5","share losing money, ""bought 0-6m after release"", 12-month hold",0.3014705882352941,0.2536231884057971,revised down,share,"the bucket's lower bound was -1e9, so pre-street-date pre-order quotes were counted as purchases 'after release'",etb_hold_risk.AGE_BUCKETS,"etb_summary.md (published table, section 6.4)"
2026-07-25,"etb_summary.md 1 and 4.4, etb.html","chained index of the ""0-12m old at entry"" cohort",39.063989367248666,64.52502929847368,revised up,pct,"the youngest cohort's lower edge was -1e9, so products first observed BEFORE their set's street date -- whose opening price is a pre-order quote -- were pooled with genuinely new boxes, and their quote-to-shelf convergence was read as newly released boxes being flat",etb_cohorts.COHORT_EDGES,"etb_summary.md (published table, section 4.4)"
2026-07-25,etb_summary.md 1 and 4.4,"share of the ""0-12m old at entry"" cohort down over its own window",0.3541666666666667,0.125,revised down,share,"the youngest cohort's lower edge was -1e9, so products first observed BEFORE their set's street date -- whose opening price is a pre-order quote -- were pooled with genuinely new boxes, and their quote-to-shelf convergence was read as newly released boxes being flat",etb_cohorts.COHORT_EDGES,"etb_summary.md (published table, section 4.4)"
2026-07-25,"etb_summary.md 1 and 4.4, etb.html, etb_hold_summary.md 5",t of the 1-3y cohort's difference from the youngest cohort,2.8635348477768603,1.205572555971015,revised down,t,"the youngest cohort's lower edge was -1e9, so products first observed BEFORE their set's street date -- whose opening price is a pre-order quote -- were pooled with genuinely new boxes, and their quote-to-shelf convergence was read as newly released boxes being flat; this is the contrast the published report called established, and it no longer clears the significance bar once the reference cohort contains only boxes that were actually on sale",etb_cohorts.COHORT_EDGES,"etb_summary.md (published table, section 4.4)"
