card_id,name,set_name,market_price,predicted_relative_return,pred_lo90,pred_hi90,percentile,direction_flag,direction_flag_percentile,signal_strength,top3_drivers,cardmarket_eur_avg30,cardmarket_eur_trend,cardmarket_eur_usd_div_z
swsh7-189,Umbreon V,Evolving Skies,390.86,0.09002299429272172,-0.05815269336457472,0.26679863850125707,100.0,none,candidate_up,strong,log_price -0.22; premium_asof +0.13; mispricing +0.09,379.84,196.01,-1.6302149669458537
swsh9-153,Charizard V,Brilliant Stars,34.65,0.08773685834842482,-0.06043882930887162,0.2645125025569602,99.7907949790795,none,candidate_up,strong,premium_asof +0.11; set_age +0.07; log_price -0.06,32.01,22.0,-1.102641784278857
swsh12-186,Lugia V,Silver Tempest,525.93,0.08716134072039816,-0.06101434693689828,0.2639369849289335,99.581589958159,none,candidate_up,strong,log_price -0.24; mispricing +0.12; premium_asof +0.11,550.88,337.51,-1.0756822281793532
swsh7-180,Espeon V,Evolving Skies,239.42,0.08664095443179337,-0.06153473322550307,0.26341659864032874,99.3723849372385,none,candidate_up,strong,log_price -0.19; premium_asof +0.10; set_age +0.09,161.69,128.36,-1.4932376089249262
sv3pt5-184,Blastoise ex,151,19.27,0.08519888944716186,-0.1527102522047987,0.33445863276061993,99.16317991631799,none,candidate_up,strong,premium_asof +0.09; mom_3m +0.03; vol_6m -0.03,23.31,23.74,1.2579192443189646
swsh11-186,Giratina V,Lost Origin,826.57,0.084806945040055,-0.06336874261724144,0.26158258924859035,98.9539748953975,none,candidate_up,strong,log_price -0.27; mispricing +0.17; premium_asof +0.09,883.8,1316.77,2.6855585578225303
swsh9-154,Charizard V,Brilliant Stars,297.13,0.08370245875172283,-0.06447322890557361,0.2604781029602582,98.74476987447699,none,candidate_up,strong,log_price -0.20; premium_asof +0.11; mispricing +0.09,256.07,255.16,-0.2176854115653361
sv3pt5-193,Mew ex,151,32.93,0.08196501632251772,-0.15594412532944285,0.33122475963597575,98.5355648535565,none,candidate_up,strong,premium_asof +0.11; log_price -0.06; vol_6m -0.03,30.46,31.9,0.21711780503128228
sv4pt5-234,Charizard ex,Paldean Fates,280.79,0.08162736871601625,-0.0983542507118404,0.3125588595008345,98.32635983263597,none,candidate_up,strong,log_price -0.20; premium_asof +0.11; mispricing +0.05,239.51,271.3,0.20715823149531967
swsh7-177,Jolteon V,Evolving Skies,18.67,0.07861926180613778,-0.06955642585115866,0.25539490601467313,98.11715481171548,none,candidate_up,strong,set_age +0.09; premium_asof +0.08; mid_skew +0.05,17.53,16.26,-0.16957950488336535
swsh12pt5-160,Pikachu,Crown Zenith,51.15,0.07856809451519786,-0.10314927036900504,0.27647308166588674,97.90794979079497,none,candidate_up,strong,premium_asof +0.11; log_price -0.09; mispricing +0.08,58.91,53.77,0.5433022173744896
swsh7-172,Vaporeon V,Evolving Skies,24.6,0.0782672524577064,-0.06990843519959004,0.25504289666624175,97.69874476987448,none,candidate_up,strong,set_age +0.09; premium_asof +0.09; log_price -0.04,25.76,45.81,3.7496737557063344
