card_id,name,set_id,set_name,number,rarity,variant,eu_eur,eu_usd,us_usd,ratio,gap_pct,gap_usd,obs_dates,flags
sv6pt5-15,Revavroom ex,sv6pt5,Shrouded Fable,15,Double Rare,normal,0.6,0.69912,0.75,0.93216,-6.784000000000001,-0.050880000000000036,8,penny
swsh12-130,Dragonair,swsh12,Silver Tempest,130,Uncommon,normal,0.04,0.046608000000000004,0.22,0.21185454545454546,-78.81454545454545,-0.173392,8,penny
swsh12-130,Dragonair,swsh12,Silver Tempest,130,Uncommon,holo,0.25,0.2913,0.33,0.8827272727272727,-11.72727272727273,-0.03870000000000001,8,penny
sv10-37,Team Rocket's Houndour,sv10,Destined Rivals,37,Common,normal,0.04,0.046608000000000004,0.07,0.6658285714285714,-33.417142857142856,-0.023392000000000003,8,penny
sv10-37,Team Rocket's Houndour,sv10,Destined Rivals,37,Common,holo,0.08,0.09321600000000001,0.26,0.35852307692307694,-64.14769230769231,-0.166784,8,penny
me1-6,Tangela,me1,Mega Evolution,6,Common,normal,0.02,0.023304000000000002,0.1,0.23304,-76.696,-0.076696,8,penny
me1-6,Tangela,me1,Mega Evolution,6,Common,holo,0.11,0.128172,0.19,0.6745894736842105,-32.54105263157895,-0.061827999999999994,8,penny
sv8-222,Flygon ex,sv8,Surging Sparks,222,Ultra Rare,normal,2.51,2.9246519999999996,2.54,1.1514377952755903,15.143779527559031,0.38465199999999955,11,
swsh12-46,Keldeo,swsh12,Silver Tempest,46,Rare,normal,0.08,0.09321600000000001,0.18,0.5178666666666667,-48.21333333333333,-0.08678399999999999,8,penny
swsh12-46,Keldeo,swsh12,Silver Tempest,46,Rare,holo,0.32,0.37286400000000003,0.29,1.285737931034483,28.573793103448295,0.08286400000000005,8,penny
sv8-160,Flamigo ex,sv8,Surging Sparks,160,Double Rare,normal,0.5,0.5826,0.77,0.7566233766233766,-24.337662337662337,-0.1874,8,penny
swsh12-9,Petilil,swsh12,Silver Tempest,9,Common,normal,0.03,0.034956,0.09,0.3884,-61.15999999999999,-0.055043999999999996,8,penny
swsh12-9,Petilil,swsh12,Silver Tempest,9,Common,holo,0.17,0.198084,0.15,1.3205600000000002,32.05600000000002,0.048084000000000016,8,penny
