card_id,product_id,name,set_id,set_name,number,rarity,pairing,premium_price,base_price,ratio,gap_usd,flags
base3-1,44418,Aerodactyl,base3,Fossil,1,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,90.46,41.0,2.206341463414634,49.459999999999994,
base3-10,44419,Lapras,base3,Fossil,10,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,193.38,26.05,7.4234165067178495,167.32999999999998,
base3-11,44420,Magneton,base3,Fossil,11,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,49.88,19.99,2.495247623811906,29.890000000000004,
base3-12,44421,Moltres,base3,Fossil,12,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,192.61,66.3,2.9051282051282055,126.31000000000002,
base3-13,44422,Muk,base3,Fossil,13,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,58.05,10.48,5.53912213740458,47.56999999999999,
base3-14,44423,Raichu,base3,Fossil,14,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,118.63,45.87,2.5862219315456727,72.75999999999999,
base3-15,44424,Zapdos,base3,Fossil,15,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,151.08,40.68,3.7138643067846613,110.4,
base3-17,44425,Articuno,base3,Fossil,17,Rare,1st Edition / Unlimited,29.36,10.3,2.8504854368932038,19.06,
base3-18,44426,Ditto,base3,Fossil,18,Rare,1st Edition / Unlimited,22.79,16.19,1.4076590487955527,6.599999999999998,
base3-19,44427,Dragonite,base3,Fossil,19,Rare,1st Edition / Unlimited,96.83,34.85,2.7784791965566713,61.98,
base3-20,44428,Gengar,base3,Fossil,20,Rare,1st Edition / Unlimited,109.57,40.35,2.7154894671623295,69.22,
base3-21,44429,Haunter,base3,Fossil,21,Rare,1st Edition / Unlimited,24.62,11.22,2.194295900178253,13.4,
base3-22,44430,Hitmonlee,base3,Fossil,22,Rare,1st Edition / Unlimited,14.27,5.53,2.5804701627486435,8.739999999999998,
base3-23,44431,Hypno,base3,Fossil,23,Rare,1st Edition / Unlimited,16.59,5.35,3.1009345794392527,11.24,
base3-24,44432,Kabutops,base3,Fossil,24,Rare,1st Edition / Unlimited,23.13,6.61,3.499243570347957,16.52,
base3-31,44433,Arbok,base3,Fossil,31,Uncommon,1st Edition / Unlimited,6.05,1.36,4.448529411764706,4.6899999999999995,
base3-32,44434,Cloyster,base3,Fossil,32,Uncommon,1st Edition / Unlimited,5.5,1.59,3.4591194968553456,3.91,
base3-33,44435,Gastly,base3,Fossil,33,Uncommon,1st Edition / Unlimited,7.93,1.36,5.830882352941176,6.569999999999999,
base3-34,44436,Golbat,base3,Fossil,34,Uncommon,1st Edition / Unlimited,6.39,0.71,9.0,5.68,penny
base3-35,44437,Golduck,base3,Fossil,35,Uncommon,1st Edition / Unlimited,7.8,1.25,6.24,6.55,
base3-36,44438,Golem,base3,Fossil,36,Uncommon,1st Edition / Unlimited,7.0,1.65,4.242424242424242,5.35,
base3-37,44439,Graveler,base3,Fossil,37,Uncommon,1st Edition / Unlimited,4.42,0.87,5.080459770114943,3.55,penny
base3-38,44440,Kingler,base3,Fossil,38,Uncommon,1st Edition / Unlimited,3.47,0.81,4.283950617283951,2.66,penny
base3-39,44441,Magmar,base3,Fossil,39,Uncommon,1st Edition / Unlimited,6.51,1.04,6.259615384615384,5.47,
base3-40,44442,Omastar,base3,Fossil,40,Uncommon,1st Edition / Unlimited,6.38,1.36,4.691176470588235,5.02,
base3-41,44443,Sandslash,base3,Fossil,41,Uncommon,1st Edition / Unlimited,7.67,1.02,7.519607843137255,6.65,
base3-42,44444,Seadra,base3,Fossil,42,Uncommon,1st Edition / Unlimited,5.38,0.79,6.810126582278481,4.59,penny
base3-43,44445,Slowbro,base3,Fossil,43,Uncommon,1st Edition / Unlimited,11.59,1.74,6.660919540229885,9.85,
base3-44,44446,Tentacruel,base3,Fossil,44,Uncommon,1st Edition / Unlimited,6.49,1.09,5.954128440366972,5.4,
base3-45,44447,Weezing,base3,Fossil,45,Uncommon,1st Edition / Unlimited,5.46,1.79,3.0502793296089385,3.67,
base3-46,44448,Ekans,base3,Fossil,46,Common,1st Edition / Unlimited,1.84,0.45,4.088888888888889,1.3900000000000001,penny
base3-47,44449,Geodude,base3,Fossil,47,Common,1st Edition / Unlimited,3.71,0.49,7.571428571428571,3.2199999999999998,penny
base3-48,44450,Grimer,base3,Fossil,48,Common,1st Edition / Unlimited,3.27,0.53,6.169811320754716,2.74,penny
base3-49,44451,Horsea,base3,Fossil,49,Common,1st Edition / Unlimited,3.02,0.47,6.425531914893617,2.55,penny
base3-50,44452,Kabuto,base3,Fossil,50,Common,1st Edition / Unlimited,18.52,1.63,11.36196319018405,16.89,
base3-51,44453,Krabby,base3,Fossil,51,Common,1st Edition / Unlimited,2.0,0.49,4.081632653061225,1.51,penny
base3-52,44454,Omanyte,base3,Fossil,52,Common,1st Edition / Unlimited,3.38,0.84,4.023809523809524,2.54,penny
base3-53,44455,Psyduck,base3,Fossil,53,Common,1st Edition / Unlimited,12.39,1.98,6.257575757575758,10.41,
base3-54,44456,Shellder,base3,Fossil,54,Common,1st Edition / Unlimited,1.87,0.46,4.065217391304348,1.4100000000000001,penny
base3-55,44457,Slowpoke,base3,Fossil,55,Common,1st Edition / Unlimited,6.69,0.81,8.25925925925926,5.880000000000001,penny
base3-56,44458,Tentacool,base3,Fossil,56,Common,1st Edition / Unlimited,1.64,0.41,4.0,1.23,penny
base3-57,44459,Zubat,base3,Fossil,57,Common,1st Edition / Unlimited,2.42,0.47,5.1489361702127665,1.95,penny
base3-58,44460,Mr. Fuji,base3,Fossil,58,Uncommon,1st Edition / Unlimited,11.34,0.9,12.6,10.44,penny
base3-59,44461,Energy Search,base3,Fossil,59,Common,1st Edition / Unlimited,1.22,0.28,4.357142857142857,0.94,penny
base3-60,44462,Gambler,base3,Fossil,60,Common,1st Edition / Unlimited,4.87,0.35,13.914285714285715,4.5200000000000005,penny
base3-61,44463,Recycle,base3,Fossil,61,Common,1st Edition / Unlimited,0.97,0.27,3.592592592592592,0.7,penny
base3-62,44464,Mysterious Fossil,base3,Fossil,62,Common,1st Edition / Unlimited,1.35,0.33,4.090909090909091,1.02,penny
base3-2,106518,Articuno,base3,Fossil,2,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,203.99,80.06,2.5479640269797654,123.93,
base3-3,106519,Ditto,base3,Fossil,3,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,117.42,49.04,2.3943719412724307,68.38,
base3-4,106520,Dragonite,base3,Fossil,4,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,463.06,188.98,2.4503122023494552,274.08000000000004,
base3-5,106521,Gengar,base3,Fossil,5,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,601.49,215.91,2.7858366912139316,385.58000000000004,
base3-6,106522,Haunter,base3,Fossil,6,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,151.91,52.29,2.905144387072098,99.62,
base3-7,106523,Hitmonlee,base3,Fossil,7,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,91.2,42.85,2.128354725787631,48.35,
base3-8,106524,Hypno,base3,Fossil,8,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,79.54,43.33,1.8356796676667437,36.21000000000001,
base3-9,106525,Kabutops,base3,Fossil,9,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,117.29,43.2,2.7150462962962965,74.09,
base3-16,106526,Aerodactyl,base3,Fossil,16,Rare,1st Edition / Unlimited,23.88,9.37,2.5485592315901817,14.51,
base3-25,106527,Lapras,base3,Fossil,25,Rare,1st Edition / Unlimited,27.43,10.22,2.6839530332681014,17.21,
base3-26,106528,Magneton,base3,Fossil,26,Rare,1st Edition / Unlimited,13.96,6.78,2.0589970501474926,7.180000000000001,
base3-27,106529,Moltres,base3,Fossil,27,Rare,1st Edition / Unlimited,30.44,10.73,2.83690587138863,19.71,
base3-28,106530,Muk,base3,Fossil,28,Rare,1st Edition / Unlimited,14.49,4.76,3.044117647058824,9.73,
base3-29,106531,Raichu,base3,Fossil,29,Rare,1st Edition / Unlimited,24.61,8.29,2.968636911942099,16.32,
base3-30,106532,Zapdos,base3,Fossil,30,Rare,1st Edition / Unlimited,25.78,9.73,2.6495375128468655,16.05,
base2-1,45120,Clefable,base2,Jungle,1,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,122.03,38.12,3.2012067156348376,83.91,
base2-10,45121,Scyther,base2,Jungle,10,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,151.4,57.55,2.6307558644656823,93.85000000000001,
base2-11,45122,Snorlax,base2,Jungle,11,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,342.03,150.66,2.27021107128634,191.36999999999998,
base2-12,45123,Vaporeon,base2,Jungle,12,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,105.5,50.08,2.106629392971246,55.42,
base2-13,45124,Venomoth,base2,Jungle,13,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,92.78,37.45,2.4774365821094793,55.33,
base2-14,45125,Victreebel,base2,Jungle,14,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,119.99,43.93,2.7313908490780787,76.06,
base2-15,45126,Vileplume,base2,Jungle,15,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,91.17,37.67,2.420228298380674,53.5,
base2-16,45127,Wigglytuff,base2,Jungle,16,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,78.38,42.7,1.83559718969555,35.67999999999999,
base2-2,45128,Electrode,base2,Jungle,2,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,65.01,27.73,2.344392354850343,37.28,
base2-3,45129,Flareon,base2,Jungle,3,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,155.76,96.69,1.6109215017064846,59.06999999999999,
base2-4,45130,Jolteon,base2,Jungle,4,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,258.06,98.38,2.6230941248221185,159.68,
base2-5,45131,Kangaskhan,base2,Jungle,5,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,81.52,18.5,4.406486486486486,63.019999999999996,
base2-6,45132,Mr. Mime,base2,Jungle,6,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,128.45,37.14,3.4585352719439952,91.30999999999999,
base2-7,45133,Nidoqueen,base2,Jungle,7,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,108.57,43.01,2.524296675191816,65.56,
base2-8,45134,Pidgeot,base2,Jungle,8,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,155.7,53.37,2.917369308600337,102.32999999999998,
base2-9,45135,Pinsir,base2,Jungle,9,Rare Holo,1st Edition Holofoil / Unlimited Holofoil,87.24,32.32,2.699257425742574,54.919999999999995,
base2-33,45136,Butterfree,base2,Jungle,33,Uncommon,1st Edition / Unlimited,16.3,1.84,8.858695652173912,14.46,
base2-34,45137,Dodrio,base2,Jungle,34,Uncommon,1st Edition / Unlimited,4.5,1.49,3.0201342281879193,3.01,
base2-35,45138,Exeggutor,base2,Jungle,35,Uncommon,1st Edition / Unlimited,8.41,1.59,5.289308176100628,6.82,
base2-36,45139,Fearow,base2,Jungle,36,Uncommon,1st Edition / Unlimited,4.29,1.23,3.4878048780487805,3.06,
base2-37,45140,Gloom,base2,Jungle,37,Uncommon,1st Edition / Unlimited,4.57,0.7,6.528571428571429,3.87,penny
base2-38,45141,Lickitung,base2,Jungle,38,Uncommon,1st Edition / Unlimited,8.95,1.68,5.3273809523809526,7.27,
base2-39,45142,Marowak,base2,Jungle,39,Uncommon,1st Edition / Unlimited,11.41,3.28,3.478658536585366,8.13,
base2-40,45143,Nidorina,base2,Jungle,40,Uncommon,1st Edition / Unlimited,4.01,0.58,6.913793103448276,3.4299999999999997,penny
base2-41,45144,Parasect,base2,Jungle,41,Uncommon,1st Edition / Unlimited,3.34,1.29,2.589147286821705,2.05,
base2-42,45145,Persian,base2,Jungle,42,Uncommon,1st Edition / Unlimited,10.79,0.77,14.012987012987011,10.02,penny
base2-43,45146,Primeape,base2,Jungle,43,Uncommon,1st Edition / Unlimited,7.04,1.32,5.333333333333333,5.72,
base2-44,45147,Rapidash,base2,Jungle,44,Uncommon,1st Edition / Unlimited,7.6,2.31,3.2900432900432897,5.289999999999999,
base2-45,45148,Rhydon,base2,Jungle,45,Uncommon,1st Edition / Unlimited,12.1,1.32,9.166666666666666,10.78,
base2-46,45149,Seaking,base2,Jungle,46,Uncommon,1st Edition / Unlimited,4.92,1.43,3.440559440559441,3.49,
base2-47,45150,Tauros,base2,Jungle,47,Uncommon,1st Edition / Unlimited,6.27,1.14,5.5,5.13,
base2-48,45151,Weepinbell,base2,Jungle,48,Uncommon,1st Edition / Unlimited,5.48,0.67,8.17910447761194,4.8100000000000005,penny
base2-49,45152,Bellsprout,base2,Jungle,49,Common,1st Edition / Unlimited,3.5,0.45,7.777777777777778,3.05,penny
base2-50,45153,Cubone,base2,Jungle,50,Common,1st Edition / Unlimited,10.83,1.79,6.050279329608938,9.04,
base2-51,45154,Eevee,base2,Jungle,51,Common,1st Edition / Unlimited,14.55,3.02,4.817880794701987,11.530000000000001,
base2-52,45155,Exeggcute,base2,Jungle,52,Common,1st Edition / Unlimited,2.79,0.55,5.072727272727272,2.24,penny
base2-53,45156,Goldeen,base2,Jungle,53,Common,1st Edition / Unlimited,2.54,0.53,4.7924528301886795,2.01,penny
base2-54,45157,Jigglypuff,base2,Jungle,54,Common,1st Edition / Unlimited,8.32,1.41,5.9007092198581566,6.91,
base2-55,45158,Mankey,base2,Jungle,55,Common,1st Edition / Unlimited,2.21,0.47,4.702127659574468,1.74,penny
base2-56,45159,Meowth,base2,Jungle,56,Common,1st Edition / Unlimited,5.5,0.9,6.111111111111111,4.6,penny
base2-57,45160,Nidoran ♀,base2,Jungle,57,Common,1st Edition / Unlimited,2.9,0.42,6.904761904761905,2.48,penny
base2-58,45161,Oddish,base2,Jungle,58,Common,1st Edition / Unlimited,3.49,0.46,7.586956521739131,3.0300000000000002,penny
base2-59,45162,Paras,base2,Jungle,59,Common,1st Edition / Unlimited,2.1,0.47,4.468085106382979,1.6300000000000001,penny
base2-60,45163,Pikachu,base2,Jungle,60,Common,1st Edition / Unlimited,25.67,7.38,3.4783197831978323,18.290000000000003,
base2-61,45164,Rhyhorn,base2,Jungle,61,Common,1st Edition / Unlimited,3.15,0.47,6.702127659574468,2.6799999999999997,penny
base2-62,45165,Spearow,base2,Jungle,62,Common,1st Edition / Unlimited,2.11,0.42,5.023809523809524,1.69,penny
base2-63,45166,Venonat,base2,Jungle,63,Common,1st Edition / Unlimited,1.97,0.42,4.690476190476191,1.55,penny
,45167,Poke Ball,,,,,1st Edition / Unlimited,2.8,0.29,9.655172413793103,2.51,penny
base2-17,106979,Clefable,base2,Jungle,17,Rare,1st Edition / Unlimited,14.93,8.1,1.84320987654321,6.83,
base2-18,106980,Electrode,base2,Jungle,18,Rare,1st Edition / Unlimited,50.59,8.3,6.095180722891566,42.290000000000006,
base2-19,106981,Flareon,base2,Jungle,19,Rare,1st Edition / Unlimited,43.48,14.91,2.9161636485580145,28.569999999999997,
base2-20,106982,Jolteon,base2,Jungle,20,Rare,1st Edition / Unlimited,57.45,27.42,2.0951859956236323,30.03,
base2-21,106983,Kangaskhan,base2,Jungle,21,Rare,1st Edition / Unlimited,18.69,6.12,3.0539215686274512,12.57,
base2-22,106984,Mr. Mime,base2,Jungle,22,Rare,1st Edition / Unlimited,19.77,9.77,2.023541453428864,10.0,
base2-23,106985,Nidoqueen,base2,Jungle,23,Rare,1st Edition / Unlimited,21.63,9.81,2.204892966360856,11.819999999999999,
base2-24,106986,Pidgeot,base2,Jungle,24,Rare,1st Edition / Unlimited,21.17,7.68,2.756510416666667,13.490000000000002,
base2-25,106987,Pinsir,base2,Jungle,25,Rare,1st Edition / Unlimited,18.98,5.21,3.6429942418426107,13.77,
base2-26,106988,Scyther,base2,Jungle,26,Rare,1st Edition / Unlimited,30.87,17.32,1.7823325635103926,13.55,
base2-27,106989,Snorlax,base2,Jungle,27,Rare,1st Edition / Unlimited,74.05,30.93,2.394115745231167,43.12,
base2-28,106990,Vaporeon,base2,Jungle,28,Rare,1st Edition / Unlimited,38.22,16.1,2.3739130434782605,22.119999999999997,
base2-29,106991,Venomoth,base2,Jungle,29,Rare,1st Edition / Unlimited,13.44,5.74,2.341463414634146,7.699999999999999,
base2-30,106992,Victreebel,base2,Jungle,30,Rare,1st Edition / Unlimited,15.62,7.11,2.1969057665260197,8.509999999999998,
base2-31,106993,Vileplume,base2,Jungle,31,Rare,1st Edition / Unlimited,16.26,7.27,2.236588720770289,8.990000000000002,
base2-32,106994,Wigglytuff,base2,Jungle,32,Rare,1st Edition / Unlimited,21.61,8.08,2.6745049504950495,13.53,
pl2-88,83439,Aaron's Collection,pl2,Rising Rivals,88,Uncommon,Reverse Holofoil / Normal,0.69,0.6,1.15,0.08999999999999997,penny
pl2-55,83474,Aerodactyl GL,pl2,Rising Rivals,55,Common,Reverse Holofoil / Normal,9.99,0.69,14.478260869565219,9.3,penny
pl2-14,83479,Aggron,pl2,Rising Rivals,14,Rare,Reverse Holofoil / Normal,4.63,2.76,1.677536231884058,1.87,
pl2-38,83503,Alakazam E4,pl2,Rising Rivals,38,Uncommon,Reverse Holofoil / Normal,31.28,7.9,3.9594936708860757,23.380000000000003,
pl2-56,83530,Ambipom G,pl2,Rising Rivals,56,Common,Reverse Holofoil / Normal,3.52,0.35,10.057142857142859,3.17,penny
pl2-57,83637,Aron,pl2,Rising Rivals,57,Common,Reverse Holofoil / Normal,3.11,0.53,5.867924528301886,2.58,penny
pl2-89,83763,Bebe's Search,pl2,Rising Rivals,89,Uncommon,Reverse Holofoil / Normal,1.18,0.37,3.189189189189189,0.8099999999999999,penny
pl2-15,83771,Beedrill,pl2,Rising Rivals,15,Rare,Reverse Holofoil / Normal,2.65,1.11,2.387387387387387,1.5399999999999998,
pl2-90,83813,Bertha's Warmth,pl2,Rising Rivals,90,Uncommon,Reverse Holofoil / Normal,2.87,0.38,7.552631578947369,2.49,penny
pl2-16,83999,Bronzong E4,pl2,Rising Rivals,16,Rare,Reverse Holofoil / Normal,2.16,1.72,1.255813953488372,0.44000000000000017,
pl2-58,84115,Carvanha,pl2,Rising Rivals,58,Common,Reverse Holofoil / Normal,1.14,0.22,5.181818181818182,0.9199999999999999,penny
pl2-99,84692,Darkness Energy,pl2,Rising Rivals,99,Uncommon,Reverse Holofoil / Normal,2.27,0.28,8.107142857142856,1.99,penny
pl2-17,84925,Drapion E4,pl2,Rising Rivals,17,Rare,Reverse Holofoil / Normal,4.39,1.78,2.4662921348314604,2.6099999999999994,
pl2-59,85086,Eevee,pl2,Rising Rivals,59,Common,Reverse Holofoil / Normal,28.58,4.82,5.929460580912862,23.759999999999998,
pl2-39,85166,Electrode G,pl2,Rising Rivals,39,Uncommon,Reverse Holofoil / Normal,2.14,0.41,5.219512195121951,1.7300000000000002,penny
pl2-18,85330,Espeon E4,pl2,Rising Rivals,18,Rare,Reverse Holofoil / Normal,26.71,15.98,1.6714643304130163,10.73,
pl2-19,85497,Flareon,pl2,Rising Rivals,19,Rare,Reverse Holofoil / Normal,29.0,13.37,2.169035153328347,15.63,
pl2-60,85504,Flareon E4,pl2,Rising Rivals,60,Common,Reverse Holofoil / Normal,41.5,2.78,14.928057553956835,38.72,
pl2-91,85509,Flint's Willpower,pl2,Rising Rivals,91,Uncommon,Reverse Holofoil / Normal,0.81,0.32,2.53125,0.49000000000000005,penny
pl2-61,85554,Forretress G,pl2,Rising Rivals,61,Common,Reverse Holofoil / Normal,1.98,0.32,6.1875,1.66,penny
pl2-20,85608,Gallade E4,pl2,Rising Rivals,20,Rare,Reverse Holofoil / Normal,10.72,3.65,2.9369863013698634,7.07,
pl2-21,85658,Gastrodon East Sea,pl2,Rising Rivals,21,Rare,Reverse Holofoil / Normal,4.85,2.38,2.03781512605042,2.4699999999999998,
pl2-22,85660,Gastrodon West Sea,pl2,Rising Rivals,22,Rare,Reverse Holofoil / Normal,8.45,3.25,2.5999999999999996,5.199999999999999,
pl2-40,85681,Gengar GL,pl2,Rising Rivals,40,Uncommon,Reverse Holofoil / Normal,76.57,28.07,2.727823298895618,48.49999999999999,
pl2-41,85746,Glaceon,pl2,Rising Rivals,41,Uncommon,Reverse Holofoil / Normal,41.0,7.04,5.823863636363637,33.96,
pl2-62,85776,Gliscor E4,pl2,Rising Rivals,62,Common,Reverse Holofoil / Normal,5.32,0.36,14.777777777777779,4.96,penny
pl2-23,85830,Golem E4,pl2,Rising Rivals,23,Rare,Reverse Holofoil / Normal,6.23,2.16,2.884259259259259,4.07,
pl2-63,85958,Growlithe,pl2,Rising Rivals,63,Common,Reverse Holofoil / Normal,26.69,1.1,24.263636363636362,25.59,
pl2-24,86068,Heracross E4,pl2,Rising Rivals,24,Rare,Reverse Holofoil / Normal,15.98,3.34,4.784431137724551,12.64,
pl2-64,86080,Hippopotas,pl2,Rising Rivals,64,Common,Reverse Holofoil / Normal,8.99,0.38,23.657894736842106,8.61,penny
pl2-25,86085,Hippowdon,pl2,Rising Rivals,25,Rare,Reverse Holofoil / Normal,2.33,0.96,2.4270833333333335,1.37,penny
pl2-42,86087,Hippowdon E4,pl2,Rising Rivals,42,Uncommon,Reverse Holofoil / Normal,1.75,0.57,3.0701754385964914,1.1800000000000002,penny
pl2-65,86214,Houndoom E4,pl2,Rising Rivals,65,Common,Reverse Holofoil / Normal,6.46,1.61,4.012422360248447,4.85,
pl2-43,86279,Infernape E4,pl2,Rising Rivals,43,Uncommon,Reverse Holofoil / Normal,12.73,1.59,8.0062893081761,11.14,
pl2-26,86344,Jolteon,pl2,Rising Rivals,26,Rare,Reverse Holofoil / Normal,38.94,16.0,2.43375,22.939999999999998,
pl2-66,86414,Kakuna,pl2,Rising Rivals,66,Common,Reverse Holofoil / Normal,1.97,0.33,5.96969696969697,1.64,penny
pl2-67,86431,Kecleon,pl2,Rising Rivals,67,Common,Reverse Holofoil / Normal,4.36,0.48,9.083333333333334,3.8800000000000003,penny
pl2-68,86497,Koffing,pl2,Rising Rivals,68,Common,Reverse Holofoil / Normal,11.5,0.99,11.616161616161616,10.51,penny
pl2-44,86581,Lairon,pl2,Rising Rivals,44,Uncommon,Reverse Holofoil / Normal,1.94,0.49,3.9591836734693877,1.45,penny
pl2-45,86679,Leafeon,pl2,Rising Rivals,45,Uncommon,Reverse Holofoil / Normal,23.79,3.23,7.365325077399381,20.56,
pl2-92,86891,Lucian's Assignment,pl2,Rising Rivals,92,Uncommon,Reverse Holofoil / Normal,3.0,0.27,11.11111111111111,2.73,penny
pl2-46,86972,Machamp GL,pl2,Rising Rivals,46,Uncommon,Reverse Holofoil / Normal,4.26,1.11,3.8378378378378373,3.1499999999999995,
